code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102808,13.99,1.06,1.02,-0.03,0.16,0.01,0.38,0.01,46.22,-1027.56,-16.56,-813.5,-35.82,10.02,-18.2,-7.74,13.24,-6.68,6.31,-0.46,-19.84,-8.96,4.38,-7.4,-4.59,0.56,0.74,12.39,4.15,572019.93,2830170520.0,2.02,0.0,21.02,55.27,101.59,166.48,0.35,0.11,0.03,0.05,1.46,-0.17,55.46,53.59,52.4,2.72,1.39,1.86,2.32,3.16,4.48,4.47,4.54,4.37,3.7,2.84,-658230.95,-5014332.51,-145875220.0,-1005113860.0,5.52,5.7,5.46,4.3,3.4,-0.01,0.71,0.57,63.68,68.2,0.86,19.85,15.48,0.27,-0.18,7.17,-0.13,0.51,0.74,5.71,32.59,1.03,0.75,1.04,2.71,7.32,2.43
stock102419,16.63,1.12,1.04,0.02,0.43,-0.11,0.4,0.04,-12.27,8.69,2.39,8.69,2.39,-534.04,4.35,4.71,14.82,2.25,21.52,-6.04,0.25,0.91,2.27,-0.21,3.03,0.8,0.71,2.09,3.45,526846.63,4365602410.0,1.21,5.09,24.94,44.61,63.68,73.05,0.05,0.11,-0.2,-0.33,-2.49,-0.28,49.16,37.95,35.9,1.96,1.28,1.47,1.66,1.85,2.27,3.94,3.59,3.09,2.74,2.29,-215098.96,-686223.41,-32152843.89,-104068196.0,2.78,2.9,2.53,1.98,1.63,-0.08,3.21,0.96,45.66,19.59,0.48,23.12,0.75,-0.17,0.55,-0.75,-0.36,0.58,0.72,4.84,23.4,1.08,0.78,0.56,2.11,4.46,1.27
stock101688,15.2,1.16,1.05,0.01,0.22,0.04,0.23,0.03,1.27,-10.81,27.75,-20.27,14.2,1110.34,5.12,4.8,9.94,3.42,15.46,3.79,-2.21,-0.65,-0.22,-1.19,-1.64,0.59,0.75,4.8,4.86,1063810.0,3837173330.0,2.77,1.92,25.91,51.27,77.25,94.13,0.15,0.18,-0.33,-0.3,-2.34,-0.37,34.21,32.44,32.57,3.04,2.63,2.63,2.63,2.63,2.88,4.18,4.28,3.86,3.68,3.16,-4691503.39,-48441999.99,-3045147420.0,-21687941600.0,5.43,4.92,3.98,3.22,2.41,-0.01,2.29,1.67,31.5,27.07,0.71,0.37,3.27,-0.13,0.58,0.42,0.63,0.81,0.76,6.39,40.78,1.35,1.94,0.82,3.02,9.14,1.77
stock103528,55.88,1.04,1.01,0.0,0.04,0.0,0.01,0.0,9.26,-56.55,0.24,-66.57,-22.89,-60.24,2.28,7.86,54.83,2.1,58.55,0.47,-2.97,-11.91,3.43,-2.99,-4.18,0.28,0.55,16.38,5.35,250175.88,352723961.0,7.09,28.92,41.32,59.75,149.22,209.28,0.6,0.34,-0.13,-0.53,-2.09,-0.46,65.68,46.01,39.59,3.64,1.73,1.73,2.09,3.68,4.91,4.38,4.42,4.5,4.11,3.66,-275174.73,-706210.67,-41730593.67,90377346.39,3.8,4.49,5.32,5.18,6.41,-0.73,21.17,16.87,6.58,20.69,0.27,3.03,0.77,0.01,-14.68,0.06,-11.9,1.69,0.44,8.13,66.09,2.0,4.85,0.36,3.47,12.04,7.01
stock100469,13.85,1.12,1.04,-0.01,0.32,0.11,1.73,0.05,-13.33,-157.59,-4.74,-157.59,-4.74,486.0,-3.03,-0.56,4.16,-0.58,4.56,-11.93,-8.03,-1.4,2.17,-1.69,2.0,0.62,0.73,4.74,4.09,1597718.86,26495818900.0,0.6,2.35,4.92,27.89,35.52,92.63,0.13,0.01,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.52,1.28,1.55,1.59,2.21,2.6,3.24,3.15,2.87,2.77,2.68,-471188.23,-1994132.72,61359575.65,139883430.0,1.77,2.05,1.84,1.8,1.4,0.01,0.66,0.56,72.98,41.14,1.04,5.27,16.34,-0.29,0.0,3.19,0.1,0.21,0.6,5.29,27.99,0.64,-0.06,1.11,2.68,7.17,0.97
stock103611,14.58,1.03,1.01,0.0,0.43,0.05,0.8,0.05,14.34,-96.54,-3.32,-96.54,-3.32,-47.85,0.29,0.16,11.0,0.16,12.18,35.47,-7.93,-5.13,-1.11,-4.74,-7.91,0.58,0.75,0.57,3.39,990251.19,7901462480.0,1.25,2.91,17.39,15.9,32.3,48.93,0.01,-0.05,0.2,0.56,7.57,0.11,75.81,66.88,62.99,2.01,1.21,1.24,1.36,1.52,1.84,2.49,2.37,2.17,2.17,2.18,-610520.13,-1235072.75,-85701367.68,-256848527.0,4.81,4.89,4.49,3.86,3.1,-0.01,1.04,0.67,41.13,48.51,0.99,5.58,6.7,0.07,0.02,1.24,0.05,-0.4,0.86,5.98,35.78,0.21,-0.77,1.04,2.69,7.21,2.86
stock101312,12.3,1.15,1.05,-0.01,0.21,-0.01,0.22,0.0,4.84,-252.7,-7.0,-252.7,-7.0,-746.83,-5.57,-5.29,12.46,-2.47,9.08,0.57,-8.97,-8.93,4.09,-4.37,-3.07,0.71,0.76,6.96,4.22,787200.0,3608436350.0,2.18,0.57,6.22,72.75,94.93,115.41,0.2,0.15,0.0,-0.05,-0.29,-0.33,44.56,46.09,50.34,2.62,1.37,1.88,2.18,2.42,3.25,3.99,4.59,4.1,3.42,2.83,-209594.0,-4691081.12,-10414214.67,-1473582950.0,1.59,2.13,2.01,1.47,1.12,0.08,0.94,0.75,54.69,40.63,0.47,8.58,4.49,-0.05,-0.35,-1.12,-0.3,0.93,0.47,5.32,28.31,1.26,0.78,0.94,2.62,6.88,0.91
stock101761,40.7,0.99,1.0,0.01,0.04,0.02,0.11,0.02,59.72,30.36,22.39,30.36,22.39,25.59,18.1,6.91,13.3,2.93,20.95,2.64,1.11,-1.56,-8.82,-0.04,-5.23,0.48,0.75,8.57,4.53,414565.44,1500729080.0,2.76,0.89,18.49,50.02,63.59,76.19,0.26,0.1,0.01,-0.03,1.34,-0.05,66.7,57.5,52.24,2.91,1.27,1.57,1.69,1.93,2.84,3.24,3.23,2.93,3.09,3.0,-511288.75,-2610383.1,-135186091.0,-921534071.0,8.58,10.92,10.32,8.96,8.67,0.1,1.02,0.15,83.81,11.92,0.42,18.56,0.6,0.07,-0.46,-0.04,-0.28,0.59,0.65,6.88,47.4,1.06,1.09,0.76,3.04,9.24,7.11
stock100731,12.12,0.89,0.96,0.01,0.2,-0.01,0.05,0.01,23.08,-18.55,6.1,-72.37,-64.01,94.58,6.57,25.86,25.9,2.58,27.73,-0.9,-1.99,-13.22,14.89,-2.83,-26.3,0.68,0.56,1.6,4.18,2446626.95,14049807900.0,1.74,4.29,6.91,2.61,51.0,64.84,0.04,0.23,-0.12,-0.24,-0.08,-0.26,63.23,49.29,42.55,2.55,1.18,1.27,1.7,1.83,3.49,2.77,2.98,3.48,3.39,2.67,-1471560.63,-4827078.4,-444579228.0,-1648381490.0,5.0,6.79,7.88,6.94,3.9,-0.02,2.54,2.21,52.99,17.53,0.1,27.65,1.33,-0.04,-3.16,-0.85,-3.28,0.84,0.49,6.28,39.47,1.09,2.03,0.71,2.75,7.54,2.11
stock102398,40.33,1.16,1.05,0.02,0.15,0.01,0.41,0.03,25.88,26.18,63.7,17.34,52.23,-74.23,10.83,3.91,7.77,5.55,11.52,0.46,-3.22,0.01,0.14,-1.06,-0.25,0.52,0.68,0.28,4.27,4080282.09,12927875800.0,3.16,1.51,5.52,10.61,1.92,34.7,0.01,0.07,-0.13,-0.03,2.86,-0.08,71.96,59.83,52.13,2.59,1.19,1.21,1.26,1.52,1.71,2.4,2.97,3.0,2.84,2.7,-564780.36,-1062479.39,49792724.54,-37377514.75,1.11,1.0,0.85,0.58,0.43,0.02,1.61,1.21,49.93,15.54,1.42,0.68,7.09,-0.27,0.0,-1.2,-0.06,0.55,0.4,5.7,32.54,0.83,1.7,0.34,3.01,9.06,0.5
