code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,14.2,1.12,1.04,0.02,0.51,-0.13,0.47,0.04,-12.27,8.69,2.39,8.69,2.39,-534.04,4.35,4.71,14.82,2.25,21.52,-6.04,0.25,0.91,2.27,-0.21,3.03,1.09,1.02,-0.66,5.93,449863.03,4365602410.0,1.03,5.09,-45.05,-1.15,1.73,48.79,-0.02,0.05,-0.35,-0.4,-4.94,-0.29,38.2,31.5,32.65,2.99,3.08,3.08,3.08,3.17,3.76,8.77,7.45,6.39,4.89,3.75,-1945772.88,4043414.27,57236181.93,1405785550.0,4.61,4.52,3.97,2.88,2.28,-0.08,3.21,0.96,45.66,19.59,0.48,23.12,0.75,-0.17,0.55,-0.75,-0.36,0.19,1.02,7.08,50.11,0.79,0.6,0.63,2.98,8.91,1.59
stock101688,9.28,1.16,1.05,0.02,0.36,0.07,0.38,0.03,1.27,-10.81,27.75,-20.27,14.2,1110.34,5.12,4.8,9.94,3.42,15.46,3.79,-2.21,-0.65,-0.22,-1.19,-1.64,0.84,0.87,-0.28,6.07,649484.0,3837173330.0,1.69,1.92,-50.24,-33.57,-30.58,5.5,-0.01,0.09,-0.39,-0.36,-3.77,-0.45,51.64,37.92,35.0,3.42,2.46,2.58,4.5,4.5,4.5,6.85,5.96,5.55,4.51,3.8,-826552.4,-13287377.17,328196581.0,-4027544910.0,2.47,4.24,4.52,3.42,2.7,-0.01,2.29,1.67,31.5,27.07,0.71,0.37,3.27,-0.13,0.58,0.42,0.63,0.34,1.06,8.45,71.42,0.97,1.03,0.95,3.39,11.51,1.98
stock103528,32.76,1.04,1.01,0.0,0.07,0.0,0.02,0.0,9.26,-56.55,0.24,-66.57,-22.89,-60.24,2.28,7.86,54.83,2.1,58.55,0.47,-2.97,-11.91,3.43,-2.99,-4.18,0.66,0.73,5.34,6.93,146667.18,352723961.0,4.16,28.92,-36.41,-30.89,-24.22,112.12,0.24,0.22,-0.3,-0.72,-5.83,-0.55,42.24,33.13,33.21,4.24,2.62,3.94,3.94,3.94,4.55,7.67,6.67,5.98,5.23,4.45,-388459.7,-2125958.2,99933704.64,-593285020.0,5.43,5.84,5.0,5.6,6.07,-0.73,21.17,16.87,6.58,20.69,0.27,3.03,0.77,0.01,-14.68,0.06,-11.9,0.97,0.84,9.38,88.04,1.46,2.68,0.68,3.87,15.01,7.15
stock100469,11.38,1.12,1.04,-0.01,0.39,0.14,2.1,0.05,-13.33,-157.59,-4.74,-157.59,-4.74,486.0,-3.03,-0.56,4.16,-0.58,4.56,-11.93,-8.03,-1.4,2.17,-1.69,2.0,0.98,0.99,-0.84,5.34,1312782.72,26495818900.0,0.5,2.35,-38.52,-20.14,-14.37,34.04,-0.03,-0.04,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.7,2.3,2.39,2.39,2.39,3.06,7.15,5.88,5.16,4.13,3.38,-1077771.29,-6548499.71,143021569.0,-1362449700.0,1.96,2.03,2.02,1.85,1.58,0.01,0.66,0.56,72.98,41.14,1.04,5.27,16.34,-0.29,0.0,3.19,0.1,-0.25,1.15,6.63,43.98,0.43,0.02,1.1,3.02,9.13,1.08
stock103611,10.43,1.03,1.01,0.0,0.61,0.06,1.11,0.05,14.34,-96.54,-3.32,-96.54,-3.32,-47.85,0.29,0.16,11.0,0.16,12.18,35.47,-7.93,-5.13,-1.11,-4.74,-7.91,0.87,0.93,-4.61,5.16,708389.57,7901462480.0,0.9,2.91,-49.21,-21.06,-20.64,-2.2,-0.15,-0.13,-0.22,0.26,1.47,0.05,69.12,61.7,59.61,2.67,2.49,2.49,2.49,2.49,2.57,7.02,6.18,5.21,3.97,3.17,-2132827.94,-91485731.13,221891653.0,-31768067500.0,5.51,6.45,5.87,4.79,3.81,-0.01,1.04,0.67,41.13,48.51,0.99,5.58,6.7,0.07,0.02,1.24,0.05,-1.16,1.23,7.85,61.59,-0.43,-0.54,1.03,3.05,9.32,3.15
stock101312,7.28,1.15,1.05,-0.02,0.35,-0.01,0.37,0.0,4.84,-252.7,-7.0,-252.7,-7.0,-746.83,-5.57,-5.29,12.46,-2.47,9.08,0.57,-8.97,-8.93,4.09,-4.37,-3.07,1.05,0.97,-1.48,6.25,465920.0,3608436350.0,1.29,0.57,-53.63,-39.08,-38.04,26.83,-0.06,0.04,0.01,-0.04,0.07,-0.36,57.97,51.92,53.35,3.31,2.74,2.91,2.91,3.05,3.82,7.26,6.72,6.04,4.97,3.92,-508715.84,-10085089.15,217808796.0,-673352231.0,1.83,2.16,2.03,1.82,1.41,0.08,0.94,0.75,54.69,40.63,0.47,8.58,4.49,-0.05,-0.35,-1.12,-0.3,0.07,1.12,8.14,66.22,0.74,0.23,1.03,3.17,10.08,1.03
stock101761,28.08,0.99,1.0,0.01,0.06,0.03,0.16,0.02,59.72,30.36,22.39,30.36,22.39,25.59,18.1,6.91,13.3,2.93,20.95,2.64,1.11,-1.56,-8.82,-0.04,-5.23,0.81,0.84,-1.1,5.92,286019.59,1500729080.0,1.91,0.89,-30.65,-21.8,-16.8,17.2,-0.04,0.02,-0.44,-0.14,-0.88,-0.12,56.81,49.6,47.24,3.45,1.69,1.93,1.93,1.93,2.71,9.72,7.87,5.7,4.12,3.74,-327822.52,-986976.62,-299322261.0,-617768180.0,12.97,11.35,10.37,10.02,9.9,0.1,1.02,0.15,83.81,11.92,0.42,18.56,0.6,0.07,-0.46,-0.04,-0.28,0.08,0.65,7.33,53.66,0.58,-0.81,1.12,3.27,10.71,7.45
stock100731,9.24,0.89,0.96,0.02,0.26,-0.02,0.07,0.01,23.08,-18.55,6.1,-72.37,-64.01,94.58,6.57,25.86,25.9,2.58,27.73,-0.9,-1.99,-13.22,14.89,-2.83,-26.3,0.88,0.77,-0.36,5.53,1865250.25,14049807900.0,1.33,4.29,-35.25,-20.34,-29.36,21.57,-0.01,0.14,-0.35,-0.35,-2.79,-0.38,59.86,45.36,40.01,3.0,1.9,1.98,1.98,2.01,2.09,6.27,5.23,4.61,4.22,3.43,-2658461.27,-15836373.54,-115053304.0,-8021693240.0,5.62,7.42,6.79,7.28,5.16,-0.02,2.54,2.21,52.99,17.53,0.1,27.65,1.33,-0.04,-3.16,-0.85,-3.28,0.2,0.86,6.99,48.92,0.54,1.58,0.8,3.02,9.1,2.65
stock102398,16.1,1.16,1.05,0.02,0.18,0.01,0.51,0.03,25.88,26.18,63.7,17.34,52.23,-74.23,10.83,3.91,7.77,5.55,11.52,0.46,-3.22,0.01,0.14,-1.06,-0.25,0.98,0.95,-6.52,5.82,3257750.64,12927875800.0,2.52,1.51,-38.94,-15.78,-24.44,-0.89,-0.23,0.02,-0.4,-0.24,0.14,-0.25,56.2,49.79,46.43,2.91,4.53,4.63,4.63,4.63,4.63,7.56,6.25,5.33,4.46,3.54,-3962571.36,25699934.0,-21845336.81,7600890430.0,1.32,1.49,1.32,0.94,0.62,0.02,1.61,1.21,49.93,15.54,1.42,0.68,7.09,-0.27,0.0,-1.2,-0.06,-0.19,1.05,7.38,54.49,0.43,1.04,0.45,3.38,11.42,0.56
stock100819,11.32,1.2,1.07,-0.02,0.37,0.03,0.06,-0.03,-6.26,-883.56,-6.24,-883.56,-6.24,1659.2,-5.48,-34.3,54.88,-4.65,12.21,-1.52,-6.14,-38.4,23.76,-5.22,-20.67,1.0,1.01,4.09,6.66,224643.7,1379866610.0,1.63,0.0,-42.86,1.25,1.25,48.95,0.18,0.14,-0.23,-0.36,-2.29,-0.34,45.41,38.0,35.28,3.72,2.35,2.35,2.35,2.69,2.96,8.12,9.01,9.01,5.9,4.28,-653383.05,13492683.94,85289591.95,-2398999930.0,7.49,5.85,5.85,5.53,4.66,0.01,6.78,5.76,14.66,34.97,0.14,5.92,1.37,-0.0,-2.59,0.51,-2.05,0.3,1.21,9.23,85.28,0.77,-0.16,0.91,3.61,13.0,3.88
