code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102808,5.73,1.06,1.02,-0.1,0.65,0.07,1.15,0.02,25.37,-67.46,58.66,-67.46,58.66,18.25,-15.71,-8.89,14.1,-6.81,7.91,-0.73,-5.3,-3.68,4.42,-2.62,3.01,1.2,0.99,-1.81,9.71,259717.82,5009956020.0,0.52,0.61,0.17,-38.12,-14.86,-18.95,-0.11,-0.04,-0.08,-0.02,1.09,-0.26,69.68,59.12,54.73,4.93,1.29,1.73,1.85,1.85,3.54,3.97,5.02,5.06,5.4,5.82,-88863.86,-397397.65,28393485.18,153410607.0,2.52,3.13,4.25,4.41,6.54,0.07,0.4,0.32,66.31,78.88,0.77,14.31,16.64,-0.04,-0.46,3.33,-0.4,-0.42,1.28,10.34,106.91,0.36,0.02,1.48,3.97,15.79,3.96
stock102419,12.06,1.12,1.04,0.03,0.6,-0.11,0.65,0.05,9.66,24.4,2.98,24.4,2.98,-613.08,5.0,4.63,15.16,2.52,23.83,-3.58,0.86,0.55,2.12,0.16,4.61,1.49,1.31,3.55,8.76,382066.77,4606046490.0,0.83,5.51,-6.15,-35.2,-18.4,-4.44,0.19,0.0,-0.35,-0.4,-4.94,-0.29,38.2,31.5,32.65,3.67,1.25,1.64,1.84,2.04,3.08,3.97,4.99,4.75,4.63,5.35,-67126.04,-309420.46,26061988.24,101127599.0,1.39,1.79,2.35,3.14,3.64,-0.1,2.18,0.94,49.46,41.83,0.54,26.21,1.07,-0.03,-0.61,-0.12,-0.24,-0.13,1.32,8.94,79.92,0.34,0.51,0.94,4.07,16.59,2.5
stock101688,5.96,1.16,1.05,0.03,0.56,0.01,0.58,0.05,6.69,19.67,29.54,-51.25,-47.23,-84.57,6.01,5.81,10.52,4.29,17.23,0.3,-0.5,0.63,-1.02,0.19,0.03,1.35,1.17,-0.99,8.29,466683.35,3356630100.0,1.39,1.93,-6.44,-36.39,-31.81,-38.68,-0.05,-0.08,-0.39,-0.36,-3.77,-0.45,51.64,37.92,35.0,3.51,1.26,1.67,1.71,1.82,6.11,3.84,4.72,3.99,4.37,4.91,-66769.28,-334387.75,1672462.88,86356074.81,1.12,1.4,1.64,1.9,2.67,-0.12,3.23,2.38,20.65,30.65,0.74,0.36,3.49,-0.05,1.48,0.84,1.32,-0.43,1.14,9.19,84.43,-0.02,0.66,1.17,4.03,16.21,2.1
stock103528,19.86,1.04,1.01,0.0,0.12,0.0,0.04,0.0,18.66,-48.16,0.92,-67.6,-36.92,-50.72,1.82,5.68,53.47,1.68,56.42,0.6,-1.73,-7.32,-0.75,-1.72,-5.82,1.26,1.04,-0.26,9.32,131553.44,358379927.0,3.67,13.59,-13.28,-54.12,-46.0,-4.66,-0.01,0.09,-0.3,-0.72,-5.83,-0.55,42.24,33.13,33.21,4.49,1.45,2.35,2.5,2.68,4.67,5.47,5.39,4.78,5.24,5.58,-91401.91,-346096.26,-27224202.01,-5143837.54,3.49,3.04,3.12,3.46,3.51,-0.84,16.43,13.07,7.81,20.82,0.3,3.21,0.88,0.03,-3.16,0.17,-2.4,0.42,1.09,10.75,115.51,0.82,1.7,1.23,4.6,21.19,3.99
stock100469,12.32,1.12,1.04,-0.02,0.32,0.11,1.75,0.07,-7.35,-303.8,-9.7,-301.76,-10.61,80.26,-6.93,-1.26,5.11,-1.35,4.24,-5.06,-9.99,-1.84,1.66,-2.04,0.18,1.32,1.17,4.04,7.65,1421219.96,25895221400.0,0.55,1.56,33.62,10.89,18.01,45.8,0.19,0.03,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,3.09,1.47,1.72,1.72,1.96,2.89,4.51,5.28,4.5,4.51,4.67,-320906.32,-555231.49,-147431467.0,-146830057.0,1.11,0.86,0.88,0.98,1.41,0.1,0.59,0.47,72.25,40.35,1.07,3.91,15.1,-0.13,-0.05,-0.89,-0.06,0.14,1.22,7.83,61.39,0.58,-1.02,0.99,3.76,14.15,1.24
stock103611,6.93,1.03,1.01,-0.04,0.87,0.1,1.6,0.06,0.77,-216.84,-5.84,-216.84,-5.84,60.67,-4.81,-2.61,10.6,-2.49,9.16,-2.5,-8.69,-4.85,-1.21,-4.73,-6.26,1.28,1.13,-1.49,7.69,470674.95,7833019810.0,0.6,1.89,0.87,-32.06,-40.1,-10.47,-0.07,-0.13,-0.22,0.26,1.47,0.05,69.12,61.7,59.61,3.16,1.18,1.62,1.98,1.99,3.4,3.52,4.47,4.07,4.28,4.54,-74557.9,-346299.01,22919894.77,117576542.0,1.58,1.77,2.42,3.4,4.42,0.07,0.94,0.65,43.98,50.09,0.95,3.57,7.09,-0.04,-0.15,0.65,-0.05,-0.91,1.26,8.81,77.62,-0.45,-1.0,1.12,3.66,13.41,3.65
stock101312,8.42,1.15,1.05,-0.02,0.36,0.02,0.24,0.0,-0.0,-736.59,47.32,-589.07,13.18,162.46,-5.83,-8.89,13.04,-3.65,7.16,-1.16,-7.17,-10.28,2.27,-4.34,-3.46,1.44,1.23,5.11,8.42,538880.0,4382030410.0,1.23,0.0,14.71,-24.28,-5.92,41.51,0.26,0.07,0.01,-0.04,0.07,-0.36,57.97,51.92,53.35,3.66,1.34,1.7,1.7,2.38,3.51,4.13,4.96,4.3,4.48,5.18,-58472.25,-210742.06,-962780.68,93222156.66,0.7,0.85,1.13,1.21,1.68,0.14,1.47,1.32,41.8,37.34,0.41,5.52,5.07,-0.08,0.46,0.13,0.54,0.29,1.31,9.7,94.16,0.76,1.02,1.28,4.02,16.15,1.26
stock101761,11.09,0.99,1.0,0.02,0.16,0.04,0.13,0.03,23.09,114.78,256.55,90.87,216.85,81.82,10.03,12.29,10.26,4.94,25.75,2.36,-6.62,5.25,-7.79,1.84,-0.05,1.33,1.05,2.6,7.99,336470.23,1654012330.0,2.03,7.61,-2.97,-27.04,-28.03,24.33,0.13,0.03,-0.44,-0.14,-0.88,-0.12,56.81,49.6,47.24,3.82,1.28,1.5,1.65,1.83,4.23,4.08,5.0,4.23,4.93,4.95,-240622.67,-620558.77,-6090479.65,-20742735.37,5.09,4.95,5.93,8.8,9.5,0.23,1.88,0.44,53.06,10.68,0.4,16.58,0.55,-0.04,0.43,-0.19,0.16,0.15,1.12,9.06,82.16,0.93,0.44,1.14,3.82,14.61,7.97
stock100731,7.11,0.89,0.96,0.05,0.53,0.07,0.17,0.05,190.5,182.84,86.52,96.33,29.47,221.43,9.26,28.52,16.37,5.61,39.78,1.34,3.15,-0.77,-5.11,2.2,5.13,1.19,1.14,2.77,7.46,1435690.39,28798623300.0,0.5,7.2,16.18,-21.7,-31.1,-6.69,0.12,0.06,-0.35,-0.35,-2.79,-0.38,59.86,45.36,40.01,3.32,1.2,1.6,1.89,1.89,2.62,4.98,5.07,4.07,4.07,4.49,-343740.73,-1026359.89,-48649751.91,37621228.09,3.15,2.19,2.4,3.3,5.36,0.27,2.59,2.27,49.44,25.57,0.2,26.19,2.0,0.08,-0.08,-0.28,-0.23,-0.03,1.09,8.32,69.25,0.11,1.04,0.95,3.64,13.22,3.74
stock102398,8.85,1.16,1.05,0.04,0.34,-0.03,1.26,0.05,59.23,5.19,59.08,-51.09,-26.03,-123.71,10.81,2.92,6.23,5.39,8.91,-0.81,-5.54,-1.5,-1.56,-1.93,-3.62,1.4,1.2,-5.61,8.0,1925692.37,14017925400.0,1.37,1.29,-10.24,-38.8,-34.49,-31.13,-0.26,-0.12,-0.4,-0.24,0.14,-0.25,56.2,49.79,46.43,2.88,1.29,1.71,1.88,1.88,6.41,4.44,4.66,3.98,4.32,4.65,-74615.93,-268290.44,31401375.8,70529174.41,0.28,0.28,0.34,0.47,0.72,-0.09,1.53,1.15,53.08,15.26,1.85,0.65,9.47,0.19,0.17,1.66,0.11,-0.51,1.25,7.99,63.78,-0.06,0.01,0.78,3.8,14.42,0.53
