code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,14.89,1.12,1.04,0.02,0.49,-0.04,0.58,0.04,22.31,5.74,2.47,5.74,2.47,12.67,4.67,3.98,15.61,2.39,26.08,-1.64,0.14,-0.62,1.34,-0.16,5.07,1.52,1.33,4.73,8.82,471722.57,4564286990.0,1.03,10.11,16.24,7.05,12.97,7.59,0.25,0.0,-0.35,-0.4,-4.94,-0.29,38.2,31.5,32.65,3.62,1.21,1.36,1.36,1.84,3.08,2.78,3.31,3.5,4.07,5.37,-117701.02,-249919.24,-1458169.0,68559776.51,1.93,1.69,1.67,2.71,3.55,-0.17,2.15,0.69,48.37,43.8,0.6,25.76,1.08,0.05,-0.91,0.08,-0.31,0.07,1.33,8.98,80.61,0.59,0.57,0.94,4.09,16.76,2.51
stock101688,7.83,1.16,1.05,0.03,0.43,0.01,0.44,0.05,6.69,19.67,29.54,-51.25,-47.23,-84.57,6.01,5.81,10.52,4.29,17.23,0.3,0.88,1.01,0.58,0.87,1.77,1.4,1.2,0.54,8.36,613109.17,3356630100.0,1.83,1.93,23.5,13.97,9.51,-19.69,0.03,-0.04,-0.39,-0.36,-3.77,-0.45,51.64,37.92,35.0,3.45,1.34,1.5,1.5,1.82,6.11,4.09,4.02,3.93,3.91,4.94,-308899.54,-530269.68,-22327549.13,-24021188.27,2.79,2.01,1.7,2.01,2.58,-0.12,3.23,2.38,20.65,30.65,0.74,0.36,3.49,0.03,0.95,0.22,0.71,-0.32,1.19,9.22,85.09,0.14,0.49,1.18,4.09,16.73,2.21
stock103528,26.0,1.04,1.01,0.0,0.09,0.0,0.03,0.0,25.17,9.98,2.55,-31.26,-35.91,26.2,2.4,7.15,50.22,2.25,57.81,0.81,0.16,-0.99,-5.12,0.14,-1.02,1.3,1.06,0.3,9.17,172225.04,365166476.0,4.72,19.8,16.18,1.64,-7.14,-13.04,0.02,0.13,-0.3,-0.72,-5.83,-0.55,42.24,33.13,33.21,4.27,1.27,1.54,1.65,2.5,4.67,3.32,4.16,4.38,4.44,5.45,-136711.04,-304971.22,13220581.19,32066209.75,5.23,4.45,4.01,3.97,3.59,0.5,20.44,16.68,6.79,20.12,0.31,3.21,0.98,0.06,5.07,0.16,4.07,0.4,1.15,10.89,118.6,0.85,1.55,1.23,4.61,21.25,4.06
stock100469,11.87,1.12,1.04,-0.02,0.33,0.12,1.81,0.07,-7.35,-303.8,-9.7,-301.76,-10.61,80.26,-6.93,-1.26,5.11,-1.35,4.24,-5.06,-3.9,-0.71,0.94,-0.77,-0.32,1.38,1.19,3.46,8.02,1369308.51,25895221400.0,0.53,1.56,4.4,7.42,32.63,37.07,0.17,0.03,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,3.19,1.22,1.29,1.68,1.75,2.89,3.81,4.56,4.42,4.41,4.82,-215394.49,-566740.52,7810108.04,-63586872.75,1.2,1.29,1.12,1.11,1.31,0.1,0.59,0.47,72.25,40.35,1.07,3.91,15.1,0.03,-0.07,-1.24,-0.09,0.08,1.26,8.07,65.12,0.57,-0.95,0.98,3.86,14.91,1.29
stock103611,8.1,1.03,1.01,-0.04,0.74,0.09,1.37,0.06,0.77,-216.84,-5.84,-216.84,-5.84,60.67,-4.81,-2.61,10.6,-2.49,9.16,-2.5,-8.69,-4.85,-1.21,-4.73,-6.26,1.32,1.14,0.81,7.81,550139.55,7833019810.0,0.7,1.89,7.57,9.02,13.92,-1.22,0.04,-0.16,-0.22,0.26,1.47,0.05,69.12,61.7,59.61,3.18,1.12,1.29,1.33,1.99,3.4,2.19,3.32,3.35,3.99,4.62,-127872.46,-369333.15,-1198061.75,21220682.74,2.37,2.29,2.06,3.28,4.14,0.07,0.94,0.65,43.98,50.09,0.95,3.57,7.09,-0.04,-0.15,0.65,-0.05,-0.59,1.23,8.58,73.62,-0.11,-0.83,1.12,3.64,13.23,3.51
stock101312,12.21,1.15,1.05,-0.01,0.25,0.02,0.16,0.0,-0.0,-736.59,47.32,-589.07,13.18,162.46,-5.83,-8.89,13.04,-3.65,7.16,-1.16,-1.36,-4.54,1.16,-1.5,-1.49,1.48,1.26,4.84,8.35,781440.0,4382030410.0,1.78,0.0,29.62,45.7,49.27,67.26,0.24,0.13,0.01,-0.04,0.07,-0.36,57.97,51.92,53.35,3.4,1.36,1.62,1.89,1.99,3.51,3.29,3.68,3.81,4.06,5.06,-135247.51,-439151.43,-55876466.68,-60976500.36,0.93,0.86,0.77,1.1,1.47,0.14,1.47,1.32,41.8,37.34,0.41,5.52,5.07,-0.08,0.53,-0.06,0.59,0.52,1.34,9.83,96.62,1.04,1.13,1.28,4.04,16.35,1.25
stock101761,12.85,0.99,1.0,0.01,0.14,0.0,0.09,0.02,-19.31,80.96,233.1,-46.39,-1.33,-94.91,9.46,14.64,11.96,4.27,30.84,0.21,-7.95,8.11,-1.72,1.12,9.84,1.4,1.08,3.14,8.03,389868.57,2029927400.0,1.92,3.06,10.59,-1.83,18.98,44.06,0.15,0.04,-0.44,-0.14,-0.88,-0.12,56.81,49.6,47.24,3.65,1.16,1.28,1.33,1.83,4.23,2.76,3.16,3.52,4.38,4.91,-256961.38,-539312.87,-3883928.89,80478134.66,5.85,5.1,5.25,7.79,8.11,0.02,1.42,0.32,60.79,8.99,0.29,13.67,0.38,-0.19,0.45,-0.41,0.15,0.2,1.15,9.13,83.37,1.05,0.32,1.14,3.86,14.87,8.14
stock100731,7.83,0.89,0.96,0.04,0.48,0.06,0.15,0.05,190.5,182.84,86.52,96.33,29.47,221.43,9.26,28.52,16.37,5.61,39.78,1.34,3.15,-0.77,-5.11,2.2,5.13,1.23,1.14,2.03,7.26,1886519.58,28798623300.0,0.66,7.2,5.1,7.55,16.0,-4.28,0.09,0.07,-0.35,-0.35,-2.79,-0.38,59.86,45.36,40.01,2.96,1.15,1.34,1.5,1.89,2.62,1.95,2.65,3.35,3.63,4.29,-472567.42,-1446775.86,59714005.7,219704456.0,2.27,2.27,2.16,2.59,3.59,0.27,2.59,2.27,49.44,25.57,0.2,26.19,2.0,0.08,-0.08,-0.28,-0.23,-0.22,1.11,8.21,67.41,-0.04,1.23,0.95,3.64,13.22,3.28
stock102398,10.36,1.16,1.05,0.03,0.31,0.04,1.21,0.05,71.74,8.52,10.54,-45.74,-44.73,-56.1,10.88,2.79,5.91,5.68,8.53,1.11,-0.2,-1.63,-2.28,-1.06,-4.5,1.42,1.22,-2.33,7.88,2254256.83,14473736300.0,1.56,2.65,12.12,-3.72,-3.54,-26.99,-0.11,-0.14,-0.4,-0.24,0.14,-0.25,56.2,49.79,46.43,2.76,1.16,1.29,1.33,1.88,6.41,2.75,3.48,3.57,3.69,4.61,-88497.18,-197287.76,5049881.78,18319566.69,0.36,0.32,0.3,0.42,0.67,0.12,1.58,1.14,51.68,15.06,2.03,1.06,9.73,0.51,-0.07,1.7,-0.2,-0.8,1.3,8.02,64.31,-0.29,-0.11,0.79,3.79,14.39,0.52
stock100819,10.7,1.2,1.07,-0.02,0.31,-0.03,0.05,-0.05,-2.16,-5327.18,-7.06,-5327.18,-7.06,-214.96,-7.6,-49.18,62.92,-6.21,7.13,1.13,-2.89,-19.78,11.86,-2.3,-6.01,1.45,1.26,4.05,8.78,212339.9,1433070470.0,1.48,2.62,19.82,11.92,15.18,-13.36,0.21,0.09,-0.23,-0.36,-2.29,-0.34,45.41,38.0,35.28,3.75,1.25,1.43,1.43,1.89,2.78,3.06,3.46,3.79,4.08,5.31,-151855.11,-333208.52,21618268.65,113033058.0,4.98,4.39,4.06,6.2,6.41,-0.9,4.31,3.59,19.32,32.52,0.13,5.3,1.26,-0.01,-2.15,0.06,-1.95,0.49,1.56,11.28,127.18,0.69,1.12,1.25,4.31,18.6,5.23
