code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,11.6,1.12,1.04,0.03,0.61,-0.15,0.56,0.03,-11.34,3.53,2.22,3.53,2.22,-941.1,4.23,4.61,15.55,2.17,22.42,-5.98,0.05,0.66,2.76,-0.22,3.58,1.24,1.2,-0.93,7.8,367493.74,4281932080.0,0.86,4.28,-7.5,-11.99,-40.18,-4.0,-0.04,0.03,-0.37,-0.35,-3.23,-0.29,50.59,38.29,36.04,3.63,1.29,1.97,2.18,3.08,3.17,5.66,6.54,7.33,6.33,4.78,-173905.7,-2725959.44,97218292.41,-475015208.0,3.31,4.62,4.88,4.32,2.97,-0.19,2.35,0.76,45.45,37.52,0.47,22.38,0.85,-0.13,-0.32,-0.46,-0.45,0.09,1.18,8.23,67.74,0.44,0.05,0.66,3.67,13.44,2.02
stock101688,7.26,1.16,1.05,0.03,0.45,0.05,0.5,0.03,8.33,9.57,29.74,-55.48,-47.28,112.26,5.81,5.26,10.31,3.86,16.61,2.02,-1.07,0.06,0.36,-0.48,0.5,1.06,1.06,-1.93,7.73,508109.25,3792919260.0,1.34,2.61,-26.37,-21.51,-42.7,-34.55,-0.09,0.02,-0.5,-0.3,-2.3,-0.39,55.1,39.89,36.03,3.92,1.41,1.74,1.88,4.92,4.92,5.63,6.31,6.68,5.73,4.69,-141463.3,-1045112.34,86747952.04,34316523.01,1.54,2.15,2.42,3.7,2.92,-0.12,2.26,1.62,31.05,27.82,0.73,0.38,3.3,-0.1,0.5,0.56,0.61,-0.08,1.1,9.02,81.36,0.25,0.63,0.97,3.9,15.24,2.11
stock103528,23.53,1.04,1.01,0.0,0.1,0.0,0.03,0.0,16.55,-62.79,1.09,-76.74,-36.82,-84.02,1.74,5.53,53.38,1.62,57.19,0.34,-2.99,-11.79,2.4,-2.95,-5.04,0.94,0.95,0.89,8.61,161487.33,351845450.0,4.59,35.79,6.37,-17.5,-38.0,-44.79,0.05,0.16,-0.35,-0.61,-3.55,-0.5,57.22,40.86,36.97,4.76,1.48,1.88,2.27,4.67,4.67,6.9,6.71,7.09,6.14,5.31,-64707.41,-293136.09,18641426.56,110339623.0,2.17,2.62,3.01,3.04,3.63,-0.92,27.34,21.83,5.74,20.27,0.29,2.99,0.87,0.03,-0.06,0.14,-0.01,0.85,0.99,10.45,109.25,1.14,2.3,0.78,4.34,18.83,4.48
stock100469,7.16,1.12,1.04,-0.02,0.62,0.38,3.41,0.05,-7.21,-168.9,-3.03,-168.9,-3.03,1146.29,-3.54,-0.64,4.06,-0.68,4.59,-17.49,-8.53,-1.5,1.26,-1.73,0.87,1.15,1.12,-4.15,6.8,825968.74,26609728100.0,0.31,2.48,-15.47,-31.94,-44.58,-31.35,-0.17,-0.09,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.89,1.3,1.81,1.99,2.89,2.89,4.85,5.2,5.99,5.13,4.09,-74870.98,-601897.9,36387970.57,222106839.0,0.6,0.89,1.29,1.69,1.61,0.08,0.65,0.55,72.77,40.14,1.07,3.84,16.41,-0.15,-0.01,1.84,0.03,-0.52,1.29,7.5,56.29,-0.13,-0.87,1.13,3.43,11.74,1.15
stock103611,7.05,1.03,1.01,-0.02,0.88,0.13,1.61,0.05,7.69,-125.64,-3.15,-125.64,-3.15,-4.44,-1.78,-0.97,10.76,-0.94,10.67,-8.48,-8.5,-5.04,-1.18,-4.74,-7.33,1.06,1.08,-6.49,6.61,478825.17,7971051700.0,0.6,5.23,-13.6,-28.21,-51.21,-43.31,-0.25,-0.17,-0.1,0.46,5.83,0.07,70.28,64.06,61.37,2.94,1.24,1.88,2.29,3.32,3.32,4.86,5.28,6.09,5.1,3.91,-157996.91,-1658874.5,56883293.9,395170086.0,2.64,3.44,4.51,5.16,4.13,0.09,0.98,0.67,43.58,49.98,0.97,4.94,7.01,0.03,-0.08,1.05,-0.03,-0.8,1.28,8.45,71.42,-0.42,-1.16,1.05,3.38,11.39,3.36
stock101312,5.5,1.15,1.05,-0.01,0.36,0.01,0.39,0.01,6.56,-546.89,-3.73,-546.89,-3.73,128.74,-3.87,-3.59,12.14,-1.72,9.73,-0.94,-4.7,-4.44,2.45,-2.16,-0.96,1.23,1.17,-2.85,7.87,352000.0,3607709630.0,0.98,2.62,-12.7,-28.39,-46.39,-31.51,-0.14,0.02,-0.3,-0.04,-0.11,-0.34,42.32,45.4,50.18,3.67,1.29,1.96,2.21,3.51,3.51,5.38,5.94,6.55,6.0,4.76,-53048.65,-538947.04,27024547.7,56271812.47,1.12,1.46,1.76,1.95,1.61,0.09,0.94,0.75,54.55,46.15,0.48,8.55,4.53,-0.03,-0.16,-0.52,-0.11,-0.11,1.29,9.15,83.8,0.27,-0.08,1.1,3.68,13.57,1.15
stock100731,7.31,0.89,0.96,0.02,0.34,0.03,0.11,0.02,39.59,-30.39,6.2,-29.16,8.08,122.32,6.98,20.83,25.54,2.69,32.51,1.15,-3.67,-20.94,15.11,-3.94,-21.22,1.09,1.01,1.36,7.04,1475674.09,15833774000.0,0.93,2.13,5.48,-11.82,-28.12,-37.64,0.06,0.11,-0.4,-0.26,-0.54,-0.3,67.65,50.41,42.93,3.35,1.27,1.6,1.6,2.27,2.27,4.92,5.56,5.66,4.81,4.24,-792183.63,-3950559.74,114742171.0,-432809400.0,3.44,4.23,4.74,6.04,5.68,0.01,2.49,2.18,56.59,19.03,0.13,30.46,1.59,-0.03,-2.37,-1.34,-2.55,0.12,0.98,7.8,60.9,0.19,1.04,0.77,3.36,11.26,3.12
stock102398,11.45,1.16,1.05,0.03,0.26,-0.02,0.86,0.03,44.56,0.58,59.99,-53.23,-25.61,-121.79,10.16,3.03,6.75,5.02,9.56,-0.69,-6.0,-1.33,-0.91,-2.33,-2.6,1.17,1.13,-6.69,7.09,2316847.5,13397633900.0,1.73,2.13,-6.53,-19.82,-31.72,-40.03,-0.28,-0.06,-0.42,-0.08,2.21,-0.14,73.16,60.81,52.76,3.06,1.41,1.6,1.63,5.11,5.11,5.98,5.69,6.18,5.34,4.23,-279781.33,-860652.88,160982622.0,468106382.0,0.53,0.61,0.8,1.02,0.69,-0.09,1.53,1.18,52.51,14.84,1.66,0.67,8.97,-0.03,0.08,0.93,0.06,-0.23,1.16,7.68,58.93,0.11,0.5,0.53,3.65,13.34,0.56
stock100819,8.17,1.2,1.07,-0.03,0.51,0.02,0.08,-0.02,-8.97,-1261.59,-6.33,-1261.59,-6.33,-23.82,-6.76,-43.16,61.24,-5.65,9.67,-0.71,-7.3,-46.54,29.06,-6.12,-23.3,1.15,1.14,-1.26,7.8,162132.42,1391225310.0,1.17,0.4,-0.12,-17.22,-40.45,-26.92,-0.06,0.09,-0.31,-0.3,-1.22,-0.24,57.83,44.26,38.29,3.73,1.25,1.6,1.96,2.78,2.78,4.78,5.64,6.45,6.87,4.73,-95415.26,-443884.63,29753127.49,198736611.0,5.75,5.44,6.2,6.01,4.86,-0.17,5.67,4.78,16.14,34.12,0.13,5.67,1.33,-0.01,-2.73,0.48,-2.18,0.41,1.3,9.94,98.74,0.43,-0.02,0.95,4.03,16.23,4.29
stock101648,37.89,1.01,1.0,0.03,0.1,-0.06,1.02,0.05,52.53,18.65,37.14,18.65,37.14,-201.93,32.19,3.31,4.14,6.62,10.0,-1.78,-5.02,-0.94,-1.25,-1.53,-2.57,0.92,0.91,-2.57,6.47,777668.52,3268527720.0,2.38,4.89,-5.63,-20.16,-12.01,-7.02,-0.1,-0.06,-0.13,-0.95,0.45,-0.07,67.99,53.76,44.62,3.18,1.26,1.72,1.74,2.12,2.33,4.68,5.18,5.76,5.02,3.92,-166083.23,-1190313.01,39524185.46,308693473.0,1.67,2.23,3.2,4.33,3.52,0.05,1.38,1.16,68.31,6.42,2.0,2.14,12.09,0.09,-0.12,0.68,-0.12,-0.2,0.66,6.31,39.88,0.0,0.85,0.18,3.27,10.69,2.64
