code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,16.37,1.12,1.04,0.02,0.45,0.08,0.54,0.07,13.45,-2.33,2.57,-2.33,2.57,206.73,4.76,3.99,19.39,2.41,30.89,3.91,-0.24,-0.64,4.24,-0.11,7.06,1.51,1.34,2.64,5.02,518609.7,4699472670.0,1.1,3.17,3.48,13.52,12.74,14.73,0.08,0.04,-0.26,-0.35,-3.28,-0.29,48.19,37.48,35.67,2.05,1.09,1.15,1.17,1.31,1.84,1.68,1.59,1.55,1.71,3.06,-91439.52,-179958.41,23395194.13,-5417831.47,1.82,1.75,1.89,1.64,1.9,0.44,2.1,0.9,49.14,40.86,0.6,24.74,1.34,0.06,-0.08,0.28,-0.04,0.36,1.48,8.99,80.8,0.46,0.63,0.95,4.09,16.74,2.64
stock100357,13.21,0.96,0.99,0.03,0.28,0.06,0.12,0.05,6.27,8.66,7.01,8.66,7.01,2.82,9.18,21.23,26.18,3.39,46.66,2.42,0.14,0.47,1.79,-0.19,-2.24,1.33,1.0,-4.74,4.45,388641.8,7804302200.0,0.5,1.55,2.01,0.23,3.2,1.21,-0.12,0.23,-0.28,-0.22,-1.84,-0.23,58.96,43.77,39.36,1.64,1.07,1.08,1.14,1.16,1.81,1.01,1.1,1.31,1.49,2.59,-86279.43,-138642.88,31719065.34,79404097.93,2.52,2.36,2.64,2.36,2.34,0.29,1.16,1.14,65.25,45.51,0.16,43.52,20.88,-0.01,0.4,5.79,0.4,0.16,0.08,4.3,18.46,0.1,0.16,0.03,4.3,18.46,4.46
stock101688,11.42,1.16,1.05,-0.03,0.26,0.06,0.19,-0.02,-35.74,-286.6,-12.66,-286.97,-12.48,1102.65,-12.83,-16.88,11.97,-9.37,13.87,-1.92,-18.84,-22.69,1.45,-13.66,-3.36,1.55,1.23,4.71,5.28,894215.42,3026111970.0,2.95,2.55,10.23,7.13,22.66,77.28,0.15,0.03,-0.42,-0.31,-2.45,-0.39,47.02,37.31,34.87,2.23,1.16,1.21,1.29,1.95,2.08,2.04,2.05,2.19,2.47,3.25,-157248.29,-275095.03,23105753.29,108702149.0,1.41,1.38,1.77,1.78,1.84,0.33,2.98,2.49,23.54,25.29,0.56,0.64,3.57,-0.18,-0.25,0.08,0.11,0.12,1.23,8.91,79.46,0.18,0.92,1.18,4.1,16.79,2.31
stock103528,28.59,1.04,1.01,0.0,0.09,0.0,0.03,0.0,17.79,30.13,2.9,30.13,2.9,163.16,2.31,6.27,51.51,2.12,58.42,1.22,0.48,0.6,-1.96,0.45,2.0,1.37,1.11,-2.05,6.03,190313.73,373203064.0,5.1,12.74,3.89,9.88,1.2,33.34,-0.07,0.04,-0.22,-0.6,-3.49,-0.5,58.88,41.84,37.47,2.92,1.12,1.16,1.17,1.72,2.5,1.64,1.68,2.06,2.9,3.58,-58104.54,-93805.1,-40066780.3,-50875021.95,2.79,2.42,2.97,4.39,4.04,-0.54,13.08,10.39,8.9,22.09,0.34,3.5,1.0,0.04,-3.35,0.12,-2.68,0.45,1.41,10.59,112.19,0.55,1.39,1.22,4.59,21.07,3.8
stock100469,12.83,1.12,1.04,0.03,0.51,0.05,1.46,0.15,7.62,290.81,105.03,270.62,83.33,-49.72,6.45,2.24,3.35,2.49,3.33,1.49,13.37,3.5,-1.76,3.84,-0.91,1.39,1.22,4.38,5.38,1480052.92,29297235000.0,0.51,1.23,6.38,7.01,13.14,26.65,0.15,0.06,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.58,1.16,1.18,1.25,1.5,1.75,2.5,2.05,1.85,1.9,3.32,-139119.46,-206987.7,-11812192.24,27418185.69,0.75,0.65,0.73,0.81,0.94,0.15,0.85,0.72,56.4,30.09,1.11,2.34,16.65,0.04,0.26,1.55,0.25,0.42,1.43,7.96,63.34,0.52,-1.1,0.98,3.78,14.32,1.27
stock103611,9.56,1.03,1.01,-0.02,0.6,0.05,1.02,0.07,-12.21,35.0,-3.81,35.0,-3.81,-36.97,-3.25,-1.93,13.42,-1.61,12.2,-2.43,1.56,0.68,2.82,0.87,3.04,1.38,1.16,2.12,5.06,649300.51,7976451940.0,0.81,1.79,5.87,7.42,20.4,38.9,0.07,-0.06,0.03,0.49,6.2,0.08,77.05,67.41,63.27,2.26,1.16,1.2,1.26,1.5,1.99,1.79,2.04,2.33,2.17,3.07,-190656.22,-339316.89,30365046.06,46974080.3,2.43,2.39,3.04,2.27,2.47,0.11,0.94,0.7,45.67,46.91,0.84,4.37,6.84,-0.12,-0.0,-0.25,0.05,-0.23,1.31,8.72,76.01,-0.14,-0.48,1.16,3.61,13.02,3.46
stock101312,10.61,1.15,1.05,0.02,0.31,0.01,0.2,0.04,7.38,235.71,6.27,235.71,6.27,-33.31,7.44,11.23,10.78,4.67,9.31,0.57,13.27,20.12,-2.26,8.32,2.15,1.32,1.29,4.63,4.88,679040.0,4377978640.0,1.55,0.25,7.61,4.74,5.99,0.31,0.14,0.07,-0.08,-0.05,-0.16,-0.34,39.81,44.15,49.53,2.26,1.15,1.16,1.16,1.24,1.89,1.44,1.41,1.36,1.73,3.01,-60923.28,-85753.49,-1300750.79,20400273.98,0.75,0.64,0.56,0.61,0.8,0.09,1.8,1.64,36.82,36.77,0.42,4.25,7.7,0.01,0.33,2.63,0.32,0.47,1.51,9.82,96.45,0.57,0.27,1.28,4.01,16.11,1.2
stock101761,11.91,0.99,1.0,0.01,0.16,-0.0,0.1,0.02,-16.62,-20.96,5.31,-73.65,-64.9,-104.6,7.53,11.65,13.41,2.96,25.27,-0.41,-2.5,-0.64,3.15,-1.98,-0.48,1.32,1.1,-2.75,5.04,415647.5,2132697620.0,1.95,0.9,3.48,-1.89,2.5,7.88,-0.08,-0.02,-0.25,-0.07,0.67,-0.08,61.31,54.2,50.28,2.21,1.09,1.11,1.21,1.29,1.77,1.24,1.45,1.88,1.92,2.98,-102882.24,-173101.71,29722256.39,100890785.0,2.62,2.52,2.92,2.71,4.04,0.1,1.29,0.2,61.67,8.34,0.25,15.31,0.37,-0.15,-0.59,-0.19,-0.24,-0.07,1.35,8.41,70.65,0.4,0.5,1.07,3.66,13.38,5.73
stock100731,14.19,0.89,0.96,0.02,0.31,0.03,0.09,0.03,117.59,129.65,212.51,23.76,68.41,-46.91,6.38,21.73,12.63,4.07,34.94,1.5,-2.3,1.14,-11.21,0.67,1.78,1.37,1.19,7.42,5.56,3420372.96,39342234700.0,0.87,5.2,-4.57,-14.72,-7.19,93.59,0.26,0.2,-0.26,-0.28,-0.85,-0.31,56.32,45.31,40.32,2.81,1.17,1.3,1.34,2.5,3.06,2.37,2.4,3.0,3.53,3.49,-2330193.73,-6272823.79,-803744429.0,-1321944620.0,5.52,6.45,8.25,7.46,4.89,0.22,3.69,3.4,43.45,23.65,0.19,24.63,1.9,0.02,1.3,-0.27,1.25,0.73,1.16,9.35,87.49,0.66,1.81,0.96,3.92,15.33,4.94
stock102398,11.56,1.16,1.05,0.03,0.29,0.09,0.96,0.06,-0.48,9.0,9.93,9.0,9.93,476.49,10.71,3.2,6.55,5.13,10.12,2.81,-0.09,0.28,0.32,-0.26,1.2,1.43,1.26,-1.61,5.57,2515367.66,15715320600.0,1.6,2.19,-0.52,-4.93,3.12,32.81,-0.05,-0.13,-0.26,-0.09,2.05,-0.14,70.76,59.04,51.67,2.52,1.08,1.18,1.24,1.54,1.89,1.51,1.98,2.42,3.15,3.31,-94414.21,-316946.32,102115548.0,135219288.0,0.39,0.57,0.55,0.61,0.48,0.08,1.57,1.18,53.98,12.15,1.6,0.96,6.74,-0.24,0.04,-2.73,0.03,-0.4,1.42,8.05,64.76,-0.3,0.12,0.77,3.89,15.12,0.59
