code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,13.41,1.12,1.04,0.02,0.53,-0.13,0.49,0.03,-11.34,3.53,2.22,3.53,2.22,-941.1,4.23,4.61,15.55,2.17,22.42,-5.98,0.05,0.66,2.76,-0.22,3.58,1.25,1.21,-0.84,7.8,424835.44,4281932080.0,0.99,4.28,17.53,-27.59,-5.56,-5.41,-0.04,0.03,-0.26,-0.35,-3.28,-0.29,48.19,37.48,35.67,3.63,1.31,1.97,1.97,3.08,3.17,4.55,6.26,6.42,6.41,4.81,-177510.5,-983897.17,31749956.82,126998431.0,3.15,4.01,4.76,4.36,3.03,-0.19,2.35,0.76,45.45,37.52,0.47,22.38,0.85,-0.13,-0.32,-0.46,-0.45,0.16,1.2,8.31,69.01,0.66,0.23,0.69,3.68,13.54,2.05
stock101688,9.17,1.16,1.05,0.02,0.36,0.04,0.4,0.03,8.33,9.57,29.74,-55.48,-47.28,112.26,5.81,5.26,10.31,3.86,16.61,2.02,-1.07,0.06,0.36,-0.48,0.5,1.09,1.07,-0.47,7.73,641785.38,3792919260.0,1.69,2.61,17.26,-21.36,-1.19,-29.11,-0.02,0.05,-0.42,-0.31,-2.45,-0.39,47.02,37.31,34.87,3.95,1.31,1.69,1.74,4.92,4.92,5.33,6.16,6.08,5.82,4.76,-157331.52,-494073.72,1405170.71,93947963.28,1.96,1.9,2.48,3.51,2.95,-0.12,2.26,1.62,31.05,27.82,0.73,0.38,3.3,-0.1,0.5,0.56,0.61,0.01,1.19,9.24,85.3,0.52,0.89,1.01,3.93,15.44,2.13
stock103528,30.71,1.04,1.01,0.0,0.08,0.0,0.02,0.0,16.55,-62.79,1.09,-76.74,-36.82,-84.02,1.74,5.53,53.38,1.62,57.19,0.34,-2.99,-11.79,2.4,-2.95,-5.04,0.96,0.97,1.54,8.64,210763.96,351845450.0,5.99,35.79,58.71,5.53,-6.26,-29.78,0.08,0.2,-0.22,-0.6,-3.49,-0.5,58.88,41.84,37.47,4.79,1.86,1.91,2.2,4.67,4.67,5.65,7.09,6.67,6.33,5.37,-473459.78,-256375.81,-143546415.0,62314991.26,2.65,2.63,2.82,3.05,3.52,-0.92,27.34,21.83,5.74,20.27,0.29,2.99,0.87,0.03,-0.06,0.14,-0.01,0.98,1.02,10.55,111.24,1.41,2.52,0.81,4.39,19.29,4.49
stock100469,8.63,1.12,1.04,-0.02,0.51,0.32,2.83,0.05,-7.21,-168.9,-3.03,-168.9,-3.03,1146.29,-3.54,-0.64,4.06,-0.68,4.59,-17.49,-8.53,-1.5,1.26,-1.73,0.87,1.16,1.13,-3.24,6.79,995546.12,26609728100.0,0.37,2.48,18.87,-27.96,-24.17,-33.05,-0.13,-0.07,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.9,1.3,1.77,1.83,2.89,2.89,3.98,5.43,5.24,5.19,4.13,-92064.94,-342978.46,-19617303.58,110142692.0,0.71,0.79,1.04,1.56,1.61,0.08,0.65,0.55,72.77,40.14,1.07,3.84,16.41,-0.15,-0.01,1.84,0.03,-0.51,1.31,7.61,57.92,0.05,-1.05,1.14,3.45,11.91,1.16
stock103611,8.12,1.03,1.01,-0.01,0.76,0.11,1.4,0.05,7.69,-125.64,-3.15,-125.64,-3.15,-4.44,-1.78,-0.97,10.76,-0.94,10.67,-8.48,-8.5,-5.04,-1.18,-4.74,-7.33,1.06,1.08,-6.0,6.59,551497.92,7971051700.0,0.69,5.23,16.83,-30.48,-22.15,-37.26,-0.24,-0.17,0.03,0.49,6.2,0.08,77.05,67.41,63.27,2.94,1.26,1.88,1.88,3.32,3.32,3.68,5.39,5.21,5.21,3.93,-172929.29,-898807.9,-11429998.03,230274393.0,2.64,3.12,4.22,5.05,4.13,0.09,0.98,0.67,43.58,49.98,0.97,4.94,7.01,0.03,-0.08,1.05,-0.03,-0.76,1.3,8.51,72.42,-0.21,-0.8,1.11,3.38,11.41,3.36
stock101312,7.31,1.15,1.05,-0.01,0.27,0.01,0.29,0.01,6.56,-546.89,-3.73,-546.89,-3.73,128.74,-3.87,-3.59,12.14,-1.72,9.73,-0.94,-4.7,-4.44,2.45,-2.16,-0.96,1.25,1.18,-2.23,7.75,467840.0,3607709630.0,1.3,2.62,35.87,-20.2,0.41,-43.42,-0.11,0.05,-0.08,-0.05,-0.16,-0.34,39.81,44.15,49.53,3.6,1.54,1.96,1.97,3.51,3.51,4.73,6.07,5.88,5.9,4.73,-142834.0,-308766.7,-67878888.65,13473302.1,1.39,1.38,1.75,1.88,1.62,0.09,0.94,0.75,54.55,46.15,0.48,8.55,4.53,-0.03,-0.16,-0.52,-0.11,0.07,1.34,9.25,85.55,0.63,0.07,1.13,3.72,13.85,1.17
stock100731,8.21,0.89,0.96,0.02,0.3,0.02,0.1,0.02,39.59,-30.39,6.2,-29.16,8.08,122.32,6.98,20.83,25.54,2.69,32.51,1.15,-3.67,-20.94,15.11,-3.94,-21.22,1.09,1.01,1.64,7.02,1657357.63,15833774000.0,1.05,2.13,12.47,-10.18,-11.15,-35.07,0.07,0.11,-0.26,-0.28,-0.85,-0.31,56.32,45.31,40.32,3.35,1.26,1.6,1.6,2.27,2.27,3.71,5.85,5.2,4.91,4.27,-537097.29,-3040131.34,-38990136.92,-897521902.0,2.75,4.34,4.41,5.58,5.66,0.01,2.49,2.18,56.59,19.03,0.13,30.46,1.59,-0.03,-2.37,-1.34,-2.55,0.24,0.97,7.77,60.44,0.44,1.11,0.79,3.36,11.3,3.16
stock102398,14.05,1.16,1.05,0.02,0.21,-0.01,0.7,0.03,44.56,0.58,59.99,-53.23,-25.61,-121.79,10.16,3.03,6.75,5.02,9.56,-0.69,-6.0,-1.33,-0.91,-2.33,-2.6,1.17,1.13,-5.4,7.09,2842943.88,13397633900.0,2.12,2.13,13.49,-13.75,-12.73,-33.26,-0.23,-0.04,-0.26,-0.09,2.05,-0.14,70.76,59.04,51.67,3.11,1.31,1.55,1.6,5.11,5.11,4.49,6.07,5.51,5.42,4.28,-172254.42,-531249.73,43860322.57,286100087.0,0.46,0.58,0.66,1.01,0.7,-0.09,1.53,1.18,52.51,14.84,1.66,0.67,8.97,-0.03,0.08,0.93,0.06,-0.12,1.19,7.81,61.0,0.38,0.78,0.57,3.67,13.44,0.57
stock100819,11.23,1.2,1.07,-0.03,0.37,0.02,0.06,-0.02,-8.97,-1261.59,-6.33,-1261.59,-6.33,-23.82,-6.76,-43.16,61.24,-5.65,9.67,-0.71,-7.3,-46.54,29.06,-6.12,-23.3,1.15,1.14,0.95,7.84,222857.67,1391225310.0,1.6,0.4,35.3,1.63,-0.8,0.45,0.05,0.14,-0.11,-0.29,-1.15,-0.24,60.52,45.75,39.03,3.85,1.57,1.63,1.72,2.78,2.78,5.1,5.96,5.71,6.79,4.86,-416219.3,-454146.04,-205673953.0,23678059.19,8.64,6.85,6.83,6.54,5.18,-0.17,5.67,4.78,16.14,34.12,0.13,5.67,1.33,-0.01,-2.73,0.48,-2.18,0.86,1.41,10.4,108.22,1.1,0.49,1.03,4.09,16.74,4.46
stock101648,43.55,1.01,1.0,0.03,0.09,-0.05,0.89,0.05,52.53,18.65,37.14,18.65,37.14,-201.93,32.19,3.31,4.14,6.62,10.0,-1.78,-5.02,-0.94,-1.25,-1.53,-2.57,0.93,0.92,-2.08,6.5,893836.48,3268527720.0,2.73,4.89,24.29,-14.96,-12.02,3.46,-0.08,-0.03,0.08,-0.99,0.22,-0.07,60.35,50.6,43.3,3.19,1.34,1.65,1.74,2.12,2.33,3.78,5.37,5.21,5.13,3.97,-212119.33,-672129.35,28813399.91,313948987.0,1.7,1.95,2.48,4.09,3.5,0.05,1.38,1.16,68.31,6.42,2.0,2.14,12.09,0.09,-0.12,0.68,-0.12,-0.18,0.7,6.37,40.53,0.11,1.37,0.23,3.29,10.82,2.64
