code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,13.65,1.12,1.04,0.03,0.53,-0.09,0.57,0.05,9.66,24.4,2.98,24.4,2.98,-613.08,5.0,4.63,15.16,2.52,23.83,-3.58,0.86,0.55,2.12,0.16,4.61,1.27,1.23,-0.75,7.94,432438.76,4606046490.0,0.94,5.51,17.67,20.16,-7.33,-6.27,-0.04,0.03,-0.35,-0.4,-4.94,-0.29,38.2,31.5,32.65,3.67,1.27,1.47,1.97,3.08,3.17,4.39,4.81,5.94,6.5,4.89,-289783.11,-741500.39,-15997610.99,88327777.21,4.83,3.92,4.43,4.57,3.2,-0.1,2.18,0.94,49.46,41.83,0.54,26.21,1.07,-0.03,-0.61,-0.12,-0.24,0.2,1.2,8.35,69.8,0.73,0.6,0.77,3.75,14.03,2.16
stock101688,8.87,1.16,1.05,0.02,0.38,0.01,0.39,0.05,6.69,19.67,29.54,-51.25,-47.23,-84.57,6.01,5.81,10.52,4.29,17.23,0.3,-0.5,0.63,-1.02,0.19,0.03,1.11,1.1,-0.87,7.92,620789.12,3356630100.0,1.85,1.93,21.84,1.37,-12.44,-33.79,-0.04,0.03,-0.39,-0.36,-3.77,-0.45,51.64,37.92,35.0,4.01,1.39,1.47,1.74,4.92,4.92,4.73,5.11,5.72,5.87,4.86,-350264.25,-537922.03,18909072.46,126184778.0,2.8,2.11,2.24,3.35,3.05,-0.12,3.23,2.38,20.65,30.65,0.74,0.36,3.49,-0.05,1.48,0.84,1.32,-0.03,1.18,9.26,85.84,0.49,0.75,1.01,3.94,15.5,2.17
stock103528,26.8,1.04,1.01,0.0,0.09,0.0,0.03,0.0,18.66,-48.16,0.92,-67.6,-36.92,-50.72,1.82,5.68,53.47,1.68,56.42,0.6,-1.73,-7.32,-0.75,-1.72,-5.82,0.99,0.98,-0.99,8.88,183929.47,358379927.0,5.13,13.59,12.98,42.93,-4.49,-32.14,-0.05,0.19,-0.3,-0.72,-5.83,-0.55,42.24,33.13,33.21,4.81,1.47,2.05,2.05,4.67,4.67,5.89,6.06,6.43,6.42,5.43,-215907.01,56467448.2,51154833.71,-11681501100.0,4.39,3.21,3.17,3.35,3.44,-0.84,16.43,13.07,7.81,20.82,0.3,3.21,0.88,0.03,-3.16,0.17,-2.4,0.61,1.0,10.25,105.03,1.05,3.06,0.81,4.45,19.78,4.57
stock100469,9.01,1.12,1.04,-0.03,0.49,0.17,2.68,0.07,-7.35,-303.8,-9.7,-301.76,-10.61,80.26,-6.93,-1.26,5.11,-1.35,4.24,-5.06,-9.99,-1.84,1.66,-2.04,0.18,1.16,1.14,-1.52,6.74,1039382.45,25895221400.0,0.4,1.56,24.62,16.56,-14.19,-38.75,-0.06,-0.07,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.89,1.24,1.37,1.81,2.89,2.89,3.77,4.23,4.86,5.21,4.14,-139565.03,-258822.34,-9634412.71,17345693.83,1.11,0.82,0.95,1.44,1.6,0.1,0.59,0.47,72.25,40.35,1.07,3.91,15.1,-0.13,-0.05,-0.89,-0.06,-0.4,1.32,7.66,58.64,0.18,-0.78,1.14,3.45,11.89,1.16
stock103611,8.9,1.03,1.01,-0.03,0.68,0.08,1.25,0.06,0.77,-216.84,-5.84,-216.84,-5.84,60.67,-4.81,-2.61,10.6,-2.49,9.16,-2.5,-8.69,-4.85,-1.21,-4.73,-6.26,1.08,1.09,-4.48,6.76,604474.32,7833019810.0,0.77,1.89,25.71,23.78,-12.06,-32.94,-0.18,-0.1,-0.22,0.26,1.47,0.05,69.12,61.7,59.61,3.07,1.4,1.57,1.88,3.32,3.32,4.37,4.46,5.05,5.38,4.06,-599445.53,-1239621.7,-72546188.94,-34643215.87,5.03,3.73,3.83,5.08,4.32,0.07,0.94,0.65,43.98,50.09,0.95,3.57,7.09,-0.04,-0.15,0.65,-0.05,-0.75,1.25,8.53,72.84,-0.2,-0.61,1.07,3.43,11.76,3.45
stock101312,6.71,1.15,1.05,-0.03,0.46,0.03,0.3,0.0,-0.0,-736.59,47.32,-589.07,13.18,162.46,-5.83,-8.89,13.04,-3.65,7.16,-1.16,-7.17,-10.28,2.27,-4.34,-3.46,1.27,1.2,-1.58,7.81,429440.0,4382030410.0,0.98,0.0,17.31,22.67,-16.44,-39.87,-0.08,0.03,0.01,-0.04,0.07,-0.36,57.97,51.92,53.35,3.61,1.29,1.54,1.96,3.51,3.51,4.31,4.68,5.48,5.94,4.78,-77062.95,-242222.58,16292874.27,49567341.03,1.21,1.17,1.36,1.78,1.58,0.14,1.47,1.32,41.8,37.34,0.41,5.52,5.07,-0.08,0.46,0.13,0.54,-0.01,1.32,9.26,85.75,0.57,0.52,1.13,3.74,13.97,1.16
stock101761,10.79,0.99,1.0,0.02,0.16,0.04,0.13,0.03,23.09,114.78,256.55,90.87,216.85,81.82,10.03,12.29,10.26,4.94,25.75,2.36,-6.62,5.25,-7.79,1.84,-0.05,0.9,0.91,-3.58,6.87,327368.24,1654012330.0,1.98,7.61,20.96,20.96,22.61,-7.41,-0.15,0.06,-0.44,-0.14,-0.88,-0.12,56.81,49.6,47.24,3.78,1.1,1.1,2.73,4.23,4.23,0.01,0.01,8.86,6.71,4.27,-397.39,-397.39,0.0,0.0,0.21,0.21,1.84,8.2,8.68,0.23,1.88,0.44,53.06,10.68,0.4,16.58,0.55,-0.04,0.43,-0.19,0.16,0.65,0.9,9.16,83.88,1.36,0.22,1.14,3.57,12.76,7.92
stock100731,8.46,0.89,0.96,0.03,0.31,0.09,0.13,0.03,85.62,-20.34,8.53,-18.93,10.44,215.5,8.68,20.59,23.84,3.4,33.15,3.49,-3.14,-27.38,11.81,-4.13,-18.77,1.11,1.03,3.0,7.17,1707825.28,17051344000.0,1.0,2.99,15.57,6.55,0.0,-27.59,0.13,0.11,-0.35,-0.35,-2.79,-0.38,59.86,45.36,40.01,3.45,1.22,1.37,1.6,2.27,2.27,3.92,4.17,5.12,4.95,4.38,-831276.58,-1958415.17,-150271923.0,239515.6,4.11,3.61,4.18,5.37,5.82,0.28,2.39,2.14,57.51,17.7,0.17,29.46,2.18,0.01,-2.36,-0.56,-2.44,0.18,0.95,7.74,59.83,0.39,1.53,0.84,3.39,11.46,3.28
stock102398,14.24,1.16,1.05,0.02,0.21,-0.02,0.78,0.05,59.23,5.19,59.08,-51.09,-26.03,-123.71,10.81,2.92,6.23,5.39,8.91,-0.81,-5.54,-1.5,-1.56,-1.93,-3.62,1.19,1.13,-5.24,7.24,2881389.39,14017925400.0,2.06,1.29,24.15,7.8,-5.76,-26.41,-0.23,-0.03,-0.4,-0.24,0.14,-0.25,56.2,49.79,46.43,3.18,1.26,1.41,1.6,5.11,5.11,4.35,5.26,5.4,5.5,4.37,-281516.22,-606098.94,60952341.25,198478420.0,0.75,0.62,0.64,0.99,0.73,-0.09,1.53,1.15,53.08,15.26,1.85,0.65,9.47,0.19,0.17,1.66,0.11,-0.24,1.17,7.86,61.7,0.28,0.67,0.57,3.7,13.68,0.58
stock100819,11.49,1.2,1.07,-0.03,0.36,-0.03,0.06,-0.05,-2.16,-5327.18,-7.06,-5327.18,-7.06,-214.96,-7.6,-49.18,62.92,-6.21,7.13,1.13,-7.74,-50.1,25.23,-6.33,-25.95,1.18,1.17,1.81,8.05,228017.33,1433070470.0,1.59,2.62,40.64,45.08,19.56,2.77,0.09,0.17,-0.23,-0.36,-2.29,-0.34,45.41,38.0,35.28,3.96,1.57,1.81,1.83,2.78,2.78,5.08,4.97,5.51,6.55,5.0,-1058915.17,-2683722.67,-408151126.0,-735643850.0,13.8,10.23,8.18,7.52,5.93,-0.9,4.31,3.59,19.32,32.52,0.13,5.3,1.26,0.0,-3.15,0.52,-2.48,0.78,1.42,10.5,110.27,1.05,0.51,1.04,4.15,17.2,4.84
stock101648,44.81,1.01,1.0,0.03,0.09,0.01,0.92,0.06,41.41,11.91,33.91,11.91,33.91,-65.42,30.15,3.13,3.81,6.1,9.53,0.38,-5.93,-0.82,-0.98,-1.07,-1.88,0.95,0.94,-1.11,6.64,919697.19,3958440810.0,2.32,14.97,17.67,24.13,-3.59,6.69,-0.05,-0.03,-0.2,-1.42,-1.8,-0.17,52.53,43.23,38.73,3.28,1.25,1.51,1.72,2.12,2.33,4.19,4.26,4.88,5.25,4.07,-264598.26,-797083.84,55316664.45,180027594.0,2.19,1.89,2.19,3.85,3.56,0.12,1.28,0.98,71.78,5.31,1.95,1.02,9.89,0.14,-0.01,1.36,-0.0,-0.19,0.69,6.32,39.96,0.11,1.55,0.2,3.34,11.19,2.65
stock100146,18.0,0.98,0.99,0.01,0.24,0.02,0.1,0.02,3.19,-28.39,1.2,-28.39,1.2,24.17,4.1,9.82,47.49,3.17,58.84,2.54,-1.69,-4.33,1.42,-1.57,-0.96,0.96,0.94,2.37,7.7,366473.27,2284556710.0,1.6,8.3,45.75,60.14,20.64,7.74,0.11,0.03,-0.47,-0.53,-4.45,-0.5,37.06,33.1,34.44,4.12,1.52,1.87,1.87,2.47,2.47,5.1,5.08,5.52,6.48,4.79,-462995.41,-2264439.58,-355085650.0,-1125168500.0,4.85,3.79,4.07,5.31,4.28,0.29,2.72,2.25,18.88,27.67,0.32,3.58,1.84,-0.01,-3.06,-0.49,-2.82,0.16,0.64,9.31,86.59,0.35,0.91,0.68,3.63,13.19,3.1
